gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
TFF1,expression,0.018222061662806915,0.018222061662806915,1,down,Unknown,Unknown,Under investigation,Partial
ATRX,expression,0.018199609975195284,0.009671639162824064,4,"up,down",TSG,Chromatin remodeling,ALT mechanism -> PARP inhibitors; ATM/ATR inhibitors in ATRX-null glioma.,Yes
PCLO,expression,0.018112252511425862,0.007936778608528195,4,"up,down",Unknown,Unknown,Under investigation,Partial
GATA3,expression,0.017911380223339286,0.017911380223339286,1,down,Unknown,Unknown,Under investigation,Partial
AGR3,expression,0.01777943002501893,0.01777943002501893,1,down,Unknown,Unknown,Under investigation,Partial
RYR2,expression,0.01764983068394211,0.011007380432189105,3,"down,up",Unknown,Unknown,Under investigation,Partial
KMT2D,expression,0.017602975055006746,0.009561327123227149,2,up,TSG,Histone methyltransferase,MLL4 loss -> synthetic lethality with PRMT5 inhibitors (GSK3326595).,Yes
KLK2,expression,0.017522202579924987,0.017522202579924987,1,up,Oncogene,Prostate kallikrein,Under investigation,Yes
CAPN8,expression,0.01751531466733798,0.01751531466733798,1,down,Unknown,Unknown,Under investigation,Partial
PHACTR3,expression,0.017149056949056128,0.017149056949056128,1,down,Unknown,Unknown,Under investigation,Partial
B3GAT1,expression,0.017026220183239262,0.017026220183239262,1,up,Unknown,Unknown,Under investigation,Partial
NPY,expression,0.016900903013296834,0.016900903013296834,1,up,Unknown,Unknown,Under investigation,Partial
MYB,expression,0.016500309544261557,0.016500309544261557,1,down,Unknown,Unknown,Under investigation,Partial
TMPRSS3,expression,0.01637376202481517,0.01637376202481517,1,down,Unknown,Unknown,Under investigation,Partial
KRAS,expression,0.016308538744041694,0.012210581677094618,4,"up,down",Oncogene,RAS-MAPK,Small molecule (MRTX849/sotorasib for G12C); pan-RAS degraders in dev.,Yes
COL10A1,expression,0.016303221210573055,0.016303221210573055,1,down,Unknown,Unknown,Under investigation,Partial
COL11A1,expression,0.0162658067109357,0.016257057250990546,2,down,Unknown,Unknown,Under investigation,Partial
POSTN,expression,0.016187358908374607,0.016187358908374607,1,down,Unknown,Unknown,Under investigation,Partial
PRR15,expression,0.016087104714663486,0.016087104714663486,1,down,Unknown,Unknown,Under investigation,Partial
AREG,expression,0.016057245237920886,0.016057245237920886,1,down,Unknown,Unknown,Under investigation,Partial
GPRC5A,expression,0.015899988168729486,0.015899988168729486,1,down,Unknown,Unknown,Under investigation,Partial
KLK3,expression,0.015688966330132885,0.015688966330132885,1,up,Oncogene,Prostate (PSA),Lutetium PSMA radioligand (177Lu-PSMA-617); PSMA CAR-T.,Yes
OGDHL,expression,0.01566198584597446,0.01566198584597446,1,up,Unknown,Unknown,Under investigation,Partial
MFAP5,expression,0.015532661131569947,0.015532661131569947,1,down,Unknown,Unknown,Under investigation,Partial
FAT1,expression,0.015452251355642859,0.008880903515958433,2,up,Unknown,Unknown,Under investigation,Partial
OMG,expression,0.015018461044805182,0.015018461044805182,1,down,Unknown,Unknown,Under investigation,Partial
BCAS1,expression,0.01494023387000133,0.01494023387000133,1,down,Unknown,Unknown,Under investigation,Partial
PNMA2,expression,0.014928140152160518,0.014928140152160518,1,down,Unknown,Unknown,Under investigation,Partial
PTPRN,expression,0.014800248828739324,0.014800248828739324,1,down,Unknown,Unknown,Under investigation,Partial
CDKN2A,expression,0.014721726612560016,0.008055157649512337,3,"up,down",TSG,Unknown,Under investigation,Yes
SFTA2,expression,0.01415616698171965,0.01415616698171965,1,down,Unknown,Unknown,Under investigation,Partial
DMBT1,expression,0.014144801932269972,0.014144801932269972,1,down,Unknown,Unknown,Under investigation,Partial
APC,expression,0.01407962638063433,0.01407962638063433,1,up,TSG,WNT pathway,WNT loss -> porcupine inhibitors (WNT974); beta-catenin PROTAC.,Yes
SOX2,expression,0.013995736937289593,0.013995736937289593,1,down,Unknown,Unknown,Under investigation,Partial
GAL3ST1,expression,0.013708033299927966,0.013708033299927966,1,down,Unknown,Unknown,Under investigation,Partial
ARSL,expression,0.013691368498492467,0.013691368498492467,1,down,Unknown,Unknown,Under investigation,Partial
CTSE,expression,0.01367633508075143,0.01367633508075143,1,down,Unknown,Unknown,Under investigation,Partial
ATP1A3,expression,0.013574569651003838,0.013574569651003838,1,down,Unknown,Unknown,Under investigation,Partial
USH2A,expression,0.013547855164833051,0.010509487801828268,3,"down,up",Unknown,Unknown,Under investigation,Partial
SOX21,expression,0.013458217448054725,0.013458217448054725,1,down,Unknown,Unknown,Under investigation,Partial
